"EventId","EventType","Timestamp","Level","Message","Exception"
"event-47ef4dc581c808dd3c00000000000000","0x10c1723e","2025-04-22T18:05:35.6786117Z","Information","Failed to validate the token.","Microsoft.IdentityModel.Tokens.SecurityTokenExpiredException: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '21/04/2025 18:31:44', Current time (UTC): '22/04/2025 18:05:35'.
   at Microsoft.IdentityModel.Tokens.ValidatorUtilities.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters)
   at Microsoft.IdentityModel.Tokens.Validators.ValidateLifetime(Nullable`1 notBefore, Nullable`1 expires, SecurityToken securityToken, TokenValidationParameters validationParameters)
   at Microsoft.IdentityModel.JsonWebTokens.JsonWebTokenHandler.ValidateTokenPayloadAsync(JsonWebToken jsonWebToken, TokenValidationParameters validationParameters, BaseConfiguration configuration)
   at Microsoft.IdentityModel.JsonWebTokens.JsonWebTokenHandler.ValidateJWSAsync(JsonWebToken jsonWebToken, TokenValidationParameters validationParameters, BaseConfiguration configuration)"
"event-47f0871781c808dd3d00000000000000","0xa49d618b","2025-04-22T18:05:35.6866327Z","Information","Bearer was not authenticated. Failure message: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '21/04/2025 18:31:44', Current time (UTC): '22/04/2025 18:05:35'.",""
"event-47f2151481c808dd3e00000000000000","0x815d6961","2025-04-22T18:05:35.6968212Z","Information","Authorization failed. These requirements were not met:
Bookify.Infrastructure.Authorization.PermissionRequirement",""
"event-47f327f681c808dd3f00000000000000","0xb5958e1d","2025-04-22T18:05:35.7038582Z","Information","AuthenticationScheme: Bearer was challenged.",""
"event-47f34d6d81c808dd4000000000000000","0x37aa1435","2025-04-22T18:05:35.7048173Z","Information","HTTP GET /api/users/me responded 401 in 184.1307 ms",""
"event-47f3c69681c808dd4100000000000000","0xddff70e3","2025-04-22T18:05:35.7079190Z","Information","Request finished HTTP/1.1 GET https://localhost:5001/api/users/me - 401 null null 189.9329ms",""
"event-4a0292cc81c808dd4200000000000000","0xfed9c7dd","2025-04-22T18:05:39.1603404Z","Information","Request starting HTTP/1.1 POST https://localhost:5001/api/users/login - application/json 58",""
"event-4a03575681c808dd4300000000000000","0x53ff63bb","2025-04-22T18:05:39.1653718Z","Information","Executing endpoint 'Bookify.Api.Controllers.Users.UsersController.LogIn (Bookify.Api)'",""
"event-4a075a5781c808dd4400000000000000","0xd969d070","2025-04-22T18:05:39.1916631Z","Information","Route matched with {action = ""LogIn"", controller = ""Users""}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] LogIn(Bookify.Api.Controllers.Users.LogInUserRequest, System.Threading.CancellationToken) on controller Bookify.Api.Controllers.Users.UsersController (Bookify.Api).",""
"event-4a1016ff81c808dd4500000000000000","0x1e597aed","2025-04-22T18:05:39.2489215Z","Information","Executing action method Bookify.Api.Controllers.Users.UsersController.LogIn (Bookify.Api) - Validation state: Valid",""
"event-4a1169ea81c808dd4600000000000000","0xd4e29fe2","2025-04-22T18:05:39.2575978Z","Information","Executing request LogInUserCommand",""
"event-4a13990581c808dd4700000000000000","0x9b0ede5b","2025-04-22T18:05:39.2719109Z","Information","Start processing HTTP request POST http://localhost:18080/realms/bookify/protocol/openid-connect/token",""
"event-4a1434b081c808dd4800000000000000","0x9b55e6b6","2025-04-22T18:05:39.2758960Z","Information","Sending HTTP request POST http://localhost:18080/realms/bookify/protocol/openid-connect/token",""
"event-4a1ea6d681c808dd4900000000000000","0x386a9aae","2025-04-22T18:05:39.3443542Z","Information","Received HTTP response headers after 64.5875ms - 200",""
"event-4a1eda2881c808dd4a00000000000000","0x8009e2c7","2025-04-22T18:05:39.3456680Z","Information","End processing HTTP request after 74.9843ms - 200",""
"event-4a1fe3fd81c808dd4b00000000000000","0x20e41188","2025-04-22T18:05:39.3524733Z","Information","Request LogInUserCommand processed successfully",""
"event-4a2103ea81c808dd4c00000000000000","0x0248b328","2025-04-22T18:05:39.3598442Z","Information","Executed action method Bookify.Api.Controllers.Users.UsersController.LogIn (Bookify.Api), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 104.8292ms.",""
"event-4a22aa7e81c808dd4d00000000000000","0xa5774348","2025-04-22T18:05:39.3706622Z","Information","Executing OkObjectResult, writing value of type 'Bookify.Application.Users.LoginUser.AccessTokenResponse'.",""
"event-4a245c5781c808dd4e00000000000000","0xd33c2b4a","2025-04-22T18:05:39.3817687Z","Information","Executed action Bookify.Api.Controllers.Users.UsersController.LogIn (Bookify.Api) in 183.2938ms",""
"event-4a249a2781c808dd4f00000000000000","0xe6e435bf","2025-04-22T18:05:39.3833511Z","Information","Executed endpoint 'Bookify.Api.Controllers.Users.UsersController.LogIn (Bookify.Api)'",""
"event-4a24ceb381c808dd5000000000000000","0x37aa1435","2025-04-22T18:05:39.3846963Z","Information","HTTP POST /api/users/login responded 200 in 222.4848 ms",""
"event-4a24e58981c808dd5100000000000000","0xddff70e3","2025-04-22T18:05:39.3852809Z","Information","Request finished HTTP/1.1 POST https://localhost:5001/api/users/login - 200 null application/json; charset=utf-8 224.9048ms",""
